#{"t_start": 1767865492.5766735, "env_id": "None"}
r,l,t
-462.18068,123,1947.899643
-430.294449,122,1954.154374
-461.741516,123,1960.459636
-432.336013,123,1966.764934
-485.523749,123,1973.070202
-443.747839,123,1979.375518
-530.546855,122,1985.630769
-397.813912,121,1991.835994
-475.91738,122,1998.091593
-529.329117,123,2004.396467
-536.235245,121,2010.601667
-462.224692,122,2016.856892
-478.463415,122,2023.112212
-406.089857,122,2029.351238
-481.304973,120,2035.505898
-449.23101,121,2041.711064
-425.728147,123,2048.016612
-521.308575,123,2054.305012
-469.91868,121,2060.510136
-465.415275,122,2066.765408
-410.907429,123,2073.070626
-513.428083,121,2079.275917
-393.906312,123,2085.581191
-533.936403,122,2091.836452
-446.108841,122,2098.091679
-430.239963,122,2104.346941
-438.548105,122,2110.602256
-406.008434,123,2116.907465
-510.330514,122,2123.162668
-471.769493,124,2129.518033
-510.199233,122,2135.774651
-454.331177,123,2142.078632
-503.591431,123,2148.3846
-451.781807,123,2154.689189
-474.883564,122,2160.944448
-531.294956,124,2167.300116
-508.094644,123,2173.60499
-469.902393,123,2179.910246
-397.612733,121,2186.115799
-465.062127,122,2192.370709
-532.355381,123,2198.676299
-496.853788,123,2204.983034
-448.792372,122,2211.236567
-541.401961,123,2217.541855
-548.328698,123,2223.847104
-501.881115,123,2230.152823
-408.970466,122,2236.407935
-463.615939,122,2242.663
-404.532573,122,2248.918147
-505.653702,124,2255.273728
-501.613886,122,2261.528715
-500.909599,121,2267.733864
-539.527747,123,2274.039226
-512.494523,123,2280.345007
-445.632331,122,2286.600522
-408.986102,123,2292.904979
-547.264729,123,2299.210751
-473.72737,123,2305.515549
-387.812933,121,2311.720746
-480.955826,123,2318.026055
-549.3189,122,2324.281266
-420.261308,122,2330.536537
-539.062904,122,2336.791783
-458.375118,123,2343.09707
-484.10855,122,2349.352307
-380.759799,120,2355.507519
-460.712895,122,2361.76272
-456.047637,121,2367.967926
-533.381762,122,2374.223295
-428.843307,121,2380.42838
-454.181707,121,2386.633817
-442.415925,122,2392.888871
-433.120216,124,2399.244236
-505.65993,122,2405.499599
-442.185769,122,2411.754893
-344.123144,119,2417.859867
-458.640002,121,2424.065042
-542.381432,122,2430.320542
-389.495179,122,2436.575621
-494.812987,120,2442.730715
-472.316676,123,2449.037188
-395.99446,121,2455.241099
-393.98924,122,2461.496649
-422.347397,122,2467.752046
-464.353937,122,2474.006799
-505.577749,122,2480.262131
-529.314967,123,2486.567339
-536.598638,120,2492.722498
-504.448826,123,2499.027826
-417.595493,122,2505.283036
-505.556405,121,2511.488225
-452.071541,121,2517.693485
-426.100781,122,2523.948689
-446.834112,122,2530.203954
-532.623805,121,2536.392493
-442.342379,122,2542.647687
-468.238839,122,2548.902994
-440.689498,122,2555.208302
-409.935285,121,2561.396794
-452.888521,121,2567.601995
-388.16375,121,2573.807156
-392.983948,121,2580.012325
-515.539652,122,2586.267601
-407.750572,123,2592.572864
-508.316801,121,2598.778095
-509.563628,123,2605.083419
-489.66187,122,2611.338634
-385.780954,122,2617.59382
-437.819786,124,2623.949143
-397.276367,122,2630.204422
-443.764697,123,2636.509713
-432.956867,123,2642.814966
-496.128198,124,2649.170312
-429.637053,122,2655.425549
-475.849344,122,2661.680785
-532.775997,121,2667.886006
-425.136689,123,2674.19121
-522.990088,122,2680.44645
-453.737474,123,2686.751719
-459.235304,123,2693.057416
-413.600681,122,2699.312323
-412.698883,121,2705.517493
-474.935381,122,2711.772755
-428.802483,121,2717.977974
-405.179305,121,2724.183165
-494.724793,123,2730.488458
-469.197471,123,2736.793769
-419.036089,122,2743.049011
-385.402933,122,2749.304245
-459.684981,124,2755.659671
-451.734433,123,2761.948232
-463.507629,123,2768.253466
-458.339774,123,2774.55874
-437.093267,123,2780.864594
-393.34642,121,2787.069216
-411.828785,124,2793.424546
-429.182767,121,2799.62976
-499.568737,122,2805.884993
-429.486388,124,2812.240373
-509.469153,124,2818.595657
-412.892688,124,2824.951226
-527.828794,124,2831.306289
-507.967662,125,2837.711647
-415.971991,124,2844.066984
-527.027563,124,2850.422307
-506.579291,123,2856.727587
-493.224127,123,2863.032919
-480.026539,123,2869.338158
-491.853023,122,2875.593471
-518.405241,123,2881.8823
-391.275456,122,2888.137291
-441.372206,122,2894.39266
-490.618016,122,2900.648148
-435.4883,122,2906.903006
-489.502418,123,2913.208301
-498.072631,122,2919.463797
-417.533221,122,2925.718809
-503.75541,121,2931.924417
-444.700715,122,2938.17938
-437.359141,122,2944.43444
-454.530184,123,2950.739825
-486.023934,121,2956.944956
-476.090915,123,2963.250207
-445.675963,123,2969.555531
-488.640063,123,2975.860846
-470.674978,122,2982.116255
-545.84283,122,2988.371351
-504.701478,123,2994.67686
-432.71334,122,3000.932469
-506.584269,122,3007.187064
-476.645166,121,3013.392405
-441.338686,122,3019.647887
-440.854371,122,3025.902714
-438.841478,122,3032.158057
-422.977002,122,3038.413268
-537.88805,123,3044.718663
-412.037416,123,3051.024164
-418.625118,124,3057.379171
-477.077619,122,3063.63448
-447.030437,120,3069.789547
-468.548519,121,3075.994743
-533.208643,122,3082.249991
-451.393711,122,3088.505286
-413.752431,125,3094.910614
-542.282934,123,3101.21588
-422.462194,123,3107.521154
-502.162018,124,3113.876497
-572.506774,123,3120.181735
