#{"t_start": 1768339536.3845134, "env_id": "None"}
r,l,t
-582.466403,149,1384.378873
-588.005526,187,1389.077417
-466.78209,144,1392.71453
-331.860623,114,1395.611065
-401.62917,113,1398.487069
-329.319057,142,1402.093598
-246.246557,123,1405.225504
-238.079127,109,1407.99362
-253.742841,105,1410.669495
-309.426087,133,1414.045096
-391.405149,122,1417.158151
-446.793989,143,1420.782694
-431.115342,129,1424.057303
-328.344894,107,1426.782461
-426.590956,136,1430.217857
-244.999013,111,1433.05112
-411.227838,147,1438.198105
-397.684707,115,1441.122839
-334.776039,125,1444.301927
-286.97962,110,1447.100922
-173.68946,95,1449.52081
-342.992501,115,1452.454287
-248.569709,119,1455.48956
-252.219869,109,1458.269234
-283.181746,113,1461.140575
-310.402578,115,1464.072046
-317.090093,115,1466.995277
-242.25605,109,1469.77255
-308.084327,135,1473.194147
-317.934261,116,1476.142933
-302.559136,107,1478.867825
-304.103572,105,1481.540817
-381.579302,120,1484.585488
-414.049202,109,1487.36143
-421.888529,123,1491.831065
-216.607594,113,1494.694565
-382.151973,125,1497.975211
-290.793936,115,1501.045852
-216.398495,107,1503.899854
-401.790769,125,1507.223126
-488.060408,170,1511.709754
-210.266681,105,1514.501937
-272.853176,100,1517.173651
-260.558543,103,1519.91727
-328.723841,109,1522.821815
-313.220998,113,1525.831866
-339.261518,106,1528.651957
-265.848487,117,1531.770696
-258.460536,109,1534.675792
-312.491509,105,1537.479087
-274.572683,105,1540.272035
-221.594431,105,1543.074686
-308.069839,101,1547.165306
-489.651177,140,1550.890589
-267.812927,98,1553.523386
-346.907068,115,1556.615153
-221.019405,109,1559.535701
-308.561521,106,1562.371761
-317.220533,100,1565.058136
-324.63532,110,1568.005133
-219.55743,97,1570.602897
-238.950749,113,1573.628457
-406.284345,132,1577.15615
-528.912067,146,1581.027935
-320.250494,103,1583.807682
-198.654379,97,1586.407822
-259.191172,111,1589.381784
-245.03887,104,1592.160294
-418.74731,153,1596.223382
-234.999835,109,1599.153118
-238.158724,109,1603.466278
-592.712665,173,1607.801863
-237.038424,102,1610.383731
-333.216513,103,1612.997134
-422.057202,126,1616.165445
-258.678835,95,1618.573287
-457.097341,154,1622.439392
-463.664603,132,1625.745975
-228.015015,103,1628.34905
-196.34447,103,1630.950132
-273.054031,105,1633.604808
-487.244184,149,1637.345134
-236.680906,117,1640.291641
-402.715946,129,1643.57138
-298.540231,109,1646.345967
-242.518366,101,1648.926505
-318.744725,97,1651.406146
-234.72836,101,1653.989448
-305.577889,107,1658.158207
-406.420592,131,1661.484564
-352.069083,130,1664.797464
-367.754375,122,1667.904093
-246.050855,97,1670.378226
-254.512933,103,1673.019727
-202.050197,106,1675.726528
-280.751676,99,1678.271132
-312.997852,103,1680.909214
-290.807843,123,1684.074692
-253.954252,103,1686.729513
-303.074643,94,1689.161295
-201.270443,95,1691.604064
-470.756179,144,1695.267499
-282.435962,101,1697.873446
-263.912735,99,1700.417387
-374.167023,125,1703.619793
-225.250676,105,1706.305928
-449.61077,128,1710.992037
-244.141567,95,1713.42663
-257.86264,97,1715.915002
-256.788916,97,1718.408282
-316.141401,99,1720.942509
-272.918443,93,1723.330836
-255.388435,95,1725.76652
-261.564878,105,1728.49167
-360.681514,114,1731.410204
-357.116873,128,1734.669222
-344.314216,126,1737.878776
-308.993584,117,1740.876498
-248.305546,101,1743.469771
-331.442964,113,1746.367816
-350.577978,108,1749.137037
-284.753302,101,1751.744756
-338.247635,99,1754.30239
-222.55322,90,1756.626529
-247.504773,99,1759.166752
-196.345719,101,1761.766092
-241.219577,87,1765.419371
-204.469447,99,1767.948518
-204.497343,91,1770.273279
-374.882912,125,1773.432919
-284.566298,108,1776.18623
-248.532468,107,1778.918334
-264.166794,95,1781.340231
-298.241468,97,1783.822001
-289.973846,95,1786.248958
-225.534998,91,1788.590768
-192.438774,103,1791.216407
-241.355827,91,1793.551221
-205.66344,97,1796.021737
-239.679855,99,1798.551047
-309.251719,93,1800.924666
-231.423112,93,1803.29334
-192.470256,93,1805.663927
-166.389041,97,1808.153626
-241.895093,97,1810.6371
-243.857045,97,1813.113797
-221.780116,99,1815.632249
-245.102025,104,1819.668099
-273.889091,101,1822.238576
-273.529338,93,1824.61406
-260.472256,99,1827.13516
-220.382701,97,1829.619053
-356.743402,109,1832.385322
-299.547785,115,1835.32726
-275.994482,95,1837.754155
-203.546759,97,1840.231693
-311.501855,95,1842.658868
-254.140523,103,1845.278582
-259.897457,94,1847.684938
-378.565563,119,1850.698536
-256.715236,91,1853.038672
-203.100767,103,1855.665789
-495.999722,126,1858.845715
-411.518283,124,1861.983137
-332.437431,107,1864.694296
-318.844908,109,1867.46392
-265.184882,101,1871.480505
-191.437832,103,1874.083986
-204.536629,105,1876.74275
-217.891861,98,1879.231687
-201.30027,99,1881.739095
-210.178656,95,1884.146959
-174.683792,96,1886.578139
-207.208934,98,1889.067641
-342.816479,102,1891.642305
-283.262823,99,1894.170387
-237.088062,99,1896.684195
-329.430227,135,1900.075782
-275.060566,95,1902.476916
-256.468061,103,1905.076885
-241.455215,96,1907.499713
-448.585335,140,1911.008542
-196.858756,91,1913.320723
-228.065354,95,1915.730536
-226.799807,101,1918.299272
-463.533221,120,1921.311365
-276.957861,97,1925.202041
-205.620903,93,1927.56102
-296.539123,103,1930.20724
-296.260076,109,1932.981734
-339.481313,101,1935.567504
-279.862999,95,1937.992847
-237.114137,103,1940.631776
-380.922184,113,1943.519739
-278.46293,99,1946.059776
-186.257489,91,1948.390846
-226.356751,103,1951.031451
-243.967237,102,1953.642044
-361.833324,113,1956.518217
-220.884663,91,1958.859321
-323.783494,120,1961.907763
-260.345882,113,1964.803745
-353.01709,100,1967.351364
-307.849364,101,1969.942037
-283.135369,105,1972.644394
-249.147567,102,1975.252786
-340.449904,105,1979.385621
-247.043432,97,1981.890352
-233.661935,105,1984.600514
-251.849756,101,1987.202377
-282.14114,111,1990.070179
-370.383703,106,1992.807722
-179.498434,97,1995.319263
-208.132589,105,1998.022632
-284.5883,101,2000.633432
-275.32904,105,2003.348303
-359.932714,107,2006.099298
-282.725798,113,2009.017906
-253.421351,107,2011.779737
-211.793476,109,2014.587385
-281.863273,112,2017.468491
-221.180241,99,2020.016531
-286.286069,111,2022.86949
-208.151891,103,2025.526438
-240.60666,115,2028.477052
-261.527769,97,2030.979475
-358.172226,111,2035.213313
-205.617607,99,2037.721331
-276.179983,111,2040.531884
-271.186028,107,2043.238521
-222.062729,110,2046.025934
-254.100216,105,2048.687351
-197.724928,101,2051.24759
-256.087169,106,2053.928602
-349.335265,115,2056.830012
-429.775278,130,2060.087298
-384.060024,131,2063.381808
-388.447607,134,2066.738337
-390.276807,149,2070.469522
-330.764626,138,2073.929135
-268.281832,118,2076.896199
-224.492762,111,2079.702317
-225.030363,95,2082.113996
-312.433741,103,2086.148952
-306.906088,120,2089.17507
-238.742802,109,2091.937526
-234.793381,105,2094.58928
-223.669318,101,2097.14032
-263.808705,113,2100.018069
-233.854219,108,2102.742734
-325.30069,116,2105.669822
-291.343098,109,2108.421269
-239.505713,109,2111.189704
-215.79478,99,2113.690342
-280.872407,103,2116.305623
-213.276222,107,2119.004313
-210.878331,114,2121.881731
-434.237558,145,2125.518263
-226.482421,103,2128.116526
-405.692647,124,2131.224048
-228.861123,102,2133.790562
-342.666601,120,2136.827384
-452.89048,148,2142.000374
-253.484567,105,2144.683785
-250.188781,107,2147.419092
-243.433785,98,2149.930338
-217.585882,103,2152.565921
-425.316082,124,2155.728146
-272.907559,113,2158.607413
-379.993254,138,2162.107575
-306.657611,128,2165.362968
-271.503392,105,2168.047083
-225.074485,101,2170.640932
-379.74384,142,2174.229463
-227.64485,97,2176.736137
-302.61086,117,2179.716202
-311.596411,111,2182.558106
-304.769995,104,2185.240615
-277.656874,95,2187.67205
-517.382456,175,2193.515331
-449.06639,144,2197.267012
-250.196117,99,2199.91477
-1373.363824,327,2208.475299
-193.112467,87,2210.812522
-301.40671,120,2213.981723
-201.351712,95,2216.510537
-209.305252,109,2219.416944
-313.042707,105,2222.226123
-283.559379,103,2224.973085
-205.756026,95,2227.499643
-310.276705,129,2230.912074
-339.611185,111,2233.860964
-278.436492,111,2236.805963
-224.928379,99,2239.440811
-303.88192,120,2242.632493
-269.814213,101,2245.316802
-285.08322,109,2249.602689
-240.882125,103,2252.235861
-302.546545,93,2254.609227
-342.164011,125,2257.769221
-285.619626,110,2260.577223
-492.490137,177,2265.023033
-191.79862,95,2267.440979
-197.826486,99,2269.963983
-288.816163,111,2272.792875
-350.092509,125,2275.961848
-294.67203,111,2278.779301
-235.028889,107,2281.518636
-453.160594,174,2285.882771
-215.418388,107,2288.601605
-238.295539,95,2291.020306
-242.174887,93,2293.39144
-298.445245,103,2296.027859
-279.611658,103,2298.664845
-263.446758,111,2302.912282
-315.381228,121,2306.014954
-244.384511,99,2308.569934
-230.246962,95,2311.029146
-312.637843,103,2313.670695
-274.539622,103,2316.333929
-283.15905,119,2319.38869
-233.932305,101,2321.983932
-298.665708,117,2324.978623
-236.24155,118,2328.004777
-259.394468,107,2330.754894
-265.619055,113,2333.649163
-239.03361,99,2336.214527
-208.417126,101,2338.803647
-955.687927,291,2346.150959
-345.361048,97,2348.653039
-187.376066,97,2351.150279
-245.125097,103,2353.791693
-241.164569,109,2358.005434
-214.249786,99,2360.527065
-246.628844,109,2363.314231
-158.835288,90,2365.604627
-466.658741,164,2369.72696
-219.520032,101,2372.290395
-234.204071,105,2374.954812
-258.681676,109,2377.732296
-247.670871,99,2380.256765
-217.321904,99,2382.776668
-209.124894,95,2385.196214
-233.276565,94,2387.603734
-214.624189,97,2390.081507
-184.503196,95,2392.507013
-225.728834,97,2394.980244
-224.619986,97,2397.455312
-245.505269,103,2400.083215
-222.692021,101,2402.656851
-289.468351,99,2405.191744
-272.60361,99,2409.173033
-239.944981,97,2411.674219
-282.911227,116,2414.647624
-194.541714,99,2417.204382
-188.877168,93,2419.606282
-232.926215,91,2421.959977
-213.337815,95,2424.412581
-329.427808,136,2427.887665
-211.62484,95,2430.33383
-224.140951,105,2433.047606
-202.679005,99,2435.579897
-219.846898,99,2438.120533
-271.749414,101,2440.714151
-236.331893,99,2443.26017
-302.430777,109,2446.058647
-235.425421,101,2448.656081
-193.353389,99,2451.196025
-355.888639,102,2453.899668
-297.853367,99,2456.555804
-193.557916,95,2459.098637
-180.98532,108,2461.989447
-205.788316,95,2465.970047
-193.131988,97,2468.585386
-216.385636,102,2471.32829
-200.025038,95,2473.883571
-193.538933,91,2476.328003
-268.231825,107,2479.211358
-247.451989,103,2481.987157
-242.825536,103,2484.756414
-223.677202,95,2487.319051
-261.32692,99,2489.982181
-179.465446,92,2492.454881
-210.944969,97,2495.064786
-192.327674,91,2497.518796
-206.338689,101,2500.234717
-188.362343,99,2502.892474
-281.276185,99,2505.572477
-207.255871,97,2508.185169
-204.756933,106,2511.035437
-264.772584,108,2513.946889
-236.891505,95,2516.50235
-227.02482,112,2520.935914
-237.879537,105,2523.768407
-181.697833,101,2526.479545
-209.45446,99,2529.145249
-159.760663,93,2531.64309
-157.591961,95,2534.1993
-200.270692,96,2536.775759
-228.037327,89,2539.181959
-296.725555,96,2541.761121
-192.742761,95,2544.318105
-158.055929,88,2546.683711
-187.954109,95,2549.240637
-262.33467,97,2551.834774
-166.713972,91,2554.280326
-253.776089,102,2557.02067
-170.091118,89,2559.406834
-241.55974,107,2562.275717
-183.206678,97,2564.884652
-215.079933,95,2567.439028
-210.135747,92,2569.914114
-198.503963,93,2572.410119
-261.551176,103,2575.181196
-183.829319,105,2579.442032
-216.584466,95,2581.992193
-162.39118,99,2584.648117
-202.235639,89,2587.03806
-193.477167,99,2589.699157
-323.059479,90,2592.120883
-152.509348,100,2594.80681
-198.875845,104,2597.603583
-198.424797,96,2600.18613
-166.506637,102,2602.920585
-153.904033,95,2605.471989
-160.81687,102,2608.206636
-190.412326,95,2610.765476
-216.188007,95,2613.319746
-220.19087,102,2616.05667
-205.588444,105,2618.874048
-232.784025,101,2621.589887
-169.284121,98,2624.228461
-162.762491,100,2626.909305
-174.441036,93,2629.416563
-216.570498,93,2633.355428
-166.727656,91,2635.81694
-194.210204,95,2638.391435
-181.867086,92,2640.888166
