#{"t_start": 1767878381.348148, "env_id": "None"}
r,l,t
-388.695614,120,1892.320604
-322.897346,120,1898.47582
-351.045538,120,1904.630917
-285.323131,119,1910.736057
-400.688772,121,1916.941262
-376.559206,120,1923.096431
-376.117303,122,1929.351702
-332.254367,121,1935.556962
-354.530189,120,1941.712076
-335.599087,119,1947.817141
-405.45558,119,1953.922263
-341.112648,121,1960.128383
-368.454353,120,1966.28266
-342.5287,120,1972.437835
-353.164816,120,1978.592901
-367.84598,120,1984.764892
-331.641689,120,1990.919975
-378.876212,120,1997.075119
-309.734312,119,2003.180274
-326.545806,120,2009.335423
-403.035586,120,2015.490631
-345.834508,119,2021.595654
-391.579983,120,2027.75089
-321.336332,119,2033.855986
-325.012548,119,2039.961138
-355.268436,120,2046.116246
-423.34487,119,2052.221385
-397.469447,120,2058.376928
-327.341543,120,2064.531681
-378.601023,120,2070.686813
-343.961899,120,2076.842026
-369.606834,120,2082.99736
-308.328678,120,2089.153242
-384.135674,120,2095.307681
-386.471693,121,2101.513354
-382.498376,121,2107.718217
-274.764959,118,2113.773009
-304.429155,118,2119.828158
-232.313216,117,2125.833339
-277.187541,118,2131.888567
-186.867668,89,2136.492293
-153.795194,89,2141.096189
-238.46731,117,2147.100962
-310.230776,118,2153.156036
-143.623341,94,2158.010125
-246.773795,118,2164.06521
-168.347063,102,2169.319643
-151.916213,103,2174.624666
-177.104117,120,2180.780337
-137.926059,101,2185.983571
-189.436747,88,2190.537434
-138.600746,89,2195.141268
-174.606057,88,2199.695121
-201.224949,89,2204.298976
-160.894651,90,2208.952894
-236.228603,98,2214.007076
-153.239375,107,2219.512302
-189.105774,89,2224.115621
-186.266888,90,2228.769476
-222.140861,97,2233.773699
-173.606043,89,2238.377512
-245.395441,101,2243.5819
-186.929191,90,2248.235805
-191.63253,119,2254.324243
-244.432477,122,2260.579459
-159.262025,93,2265.383976
-186.65541,89,2269.987386
-174.873277,89,2274.591228
-241.477458,100,2279.745534
-230.115868,101,2284.949913
-185.535594,89,2289.553833
-205.542303,89,2294.157641
-165.393388,106,2299.6125
-179.408952,89,2304.21608
-59.965347,104,2309.570774
-182.014338,90,2314.224722
-164.317075,89,2318.828554
-137.614511,91,2323.53237
-189.044181,89,2328.136483
-180.838078,89,2332.740377
-151.224163,89,2337.343978
-197.129431,96,2342.29813
-159.352221,89,2346.902004
-169.122948,89,2351.505887
-181.740106,131,2358.211687
-141.751295,113,2364.016363
-153.256773,112,2369.771091
-180.786707,89,2374.374955
-78.67279,99,2379.479191
-199.126372,89,2384.083148
-231.972889,123,2390.388453
-180.119438,89,2394.992409
-171.675216,89,2399.596129
-140.118726,89,2404.200273
-150.676372,89,2408.803855
-165.470186,89,2413.409084
-128.480248,88,2417.961787
-181.659766,88,2422.515391
-148.70279,89,2427.119167
-194.896061,102,2432.373576
-172.551072,88,2436.927519
-220.529855,100,2442.081694
-153.703909,99,2447.185984
-167.572123,104,2452.540483
-154.264257,88,2457.094331
-168.177496,88,2461.648124
-249.689881,118,2467.703231
-156.260244,89,2472.307042
-293.994938,117,2478.295415
-205.871539,101,2483.499773
-201.349283,101,2488.704126
-193.975572,101,2493.908604
-232.436113,102,2499.162885
-166.027621,88,2503.716767
-273.193506,117,2509.721771
-159.840073,88,2514.276096
-143.827467,91,2518.979575
-196.335208,93,2523.783578
-162.934209,88,2528.32098
-196.637605,101,2533.525092
-201.316372,88,2538.07893
-169.327541,88,2542.632805
-210.867769,121,2548.837978
-219.064876,121,2555.110065
-177.160226,89,2559.713702
-143.143548,88,2564.267613
-149.943105,88,2568.821328
-151.941122,89,2573.425282
-170.837172,97,2578.429403
-152.279924,88,2582.9833
-205.864705,121,2589.188512
-174.428839,89,2593.792349
-162.992401,88,2598.347989
-150.013208,88,2602.899954
-141.439824,88,2607.4537
-169.265339,88,2612.007579
-142.178475,88,2616.561381
-166.456117,93,2621.365398
-153.025923,88,2625.919235
-141.945594,88,2630.473044
-140.211566,88,2635.026898
-181.29932,88,2639.564012
-139.054994,88,2644.117828
-183.745174,108,2649.672523
-168.687621,104,2655.026991
-166.846838,88,2659.581143
-155.900619,88,2664.13464
-168.914051,88,2668.688426
-168.960426,88,2673.242258
-192.181389,89,2677.846133
-184.135349,88,2682.399934
-207.668196,103,2687.704392
-153.167127,89,2692.308236
-141.17232,88,2696.845418
-151.838053,89,2701.449224
-170.37658,88,2706.003077
-197.610153,88,2710.540194
-188.572834,126,2716.995689
-141.470837,93,2721.800067
-144.540652,88,2726.353439
-165.420529,88,2730.907276
-144.034103,88,2735.461197
-248.239888,117,2741.466131
-145.950275,87,2745.97019
-234.451265,116,2751.924917
-271.426852,116,2757.879961
-215.460663,101,2763.084292
-262.775337,116,2769.039268
-253.78935,116,2774.994256
-161.64335,88,2779.548112
-226.99971,116,2785.503047
-214.132647,116,2791.458023
-211.640957,117,2797.463123
-246.744177,117,2803.468124
-248.077627,119,2809.5736
-247.683407,119,2815.67844
-260.176875,119,2821.783483
-270.252657,119,2827.871924
-257.084903,119,2833.977127
-257.2565,117,2839.982146
-212.99511,120,2846.137647
-163.168971,88,2850.691051
-146.340662,88,2855.244895
-235.995122,116,2861.199868
-278.441328,117,2867.204942
-249.14258,115,2873.109866
-272.45045,115,2879.014804
-266.032315,115,2884.92008
-273.46528,118,2890.974877
-285.823478,118,2897.029946
-290.194652,118,2903.085807
-265.261451,117,2909.090112
-153.223554,87,2913.593823
-233.238404,116,2919.549202
-207.131287,115,2925.45375
-223.638374,116,2931.409017
-171.079402,87,2935.912664
-267.2853,119,2942.017684
-235.324042,118,2948.056067
-249.24216,119,2954.161586
-288.576031,118,2960.199531
-238.238668,118,2966.254644
-245.187091,116,2972.209651
-223.115728,116,2978.164665
-240.755778,115,2984.069587
-220.987383,115,2989.974561
-154.162139,87,2994.478315
-265.23334,119,3000.583465
-165.095299,87,3005.087314
-245.199708,116,3011.042267
-149.386906,88,3015.596023
-178.072861,87,3020.099792
-184.350693,88,3024.653612
-281.547027,120,3030.808797
-219.978412,121,3037.014009
-252.509251,117,3043.019031
-187.252271,87,3047.522797
-192.368509,87,3052.02726
-254.353286,116,3057.981581
-155.928868,88,3062.535399
-236.012677,119,3068.640543
-246.795264,117,3074.645556
-252.208266,119,3080.750783
-232.197681,116,3086.705689
-219.04263,116,3092.660964
-210.441519,118,3098.715758
-155.80163,88,3103.269558
-256.069488,117,3109.27477
-216.63799,116,3115.229591
-235.044175,116,3121.184917
-240.98635,117,3127.189661
-187.508874,88,3131.743533
