#{"t_start": 1767839728.4616997, "env_id": "None"}
r,l,t
-344.072296,118,1649.565891
-225.731682,98,1654.620093
-347.227816,123,1660.925415
-174.504871,99,1666.029691
-231.933296,96,1670.98388
-220.93675,104,1676.338536
-206.319978,104,1681.692794
-212.89009,104,1687.047662
-222.000232,99,1692.151621
-232.709644,101,1697.356179
-224.543054,98,1702.410965
-218.836243,105,1707.814924
-218.784014,102,1713.069203
-221.899439,101,1718.257001
-212.56667,102,1723.494534
-222.912371,100,1728.64889
-229.299496,104,1734.003528
-205.000767,106,1739.458169
-223.769063,102,1744.713115
-208.122335,103,1750.016852
-205.257341,99,1755.121253
-220.621765,98,1760.175289
-190.613481,101,1765.379665
-217.302008,104,1770.734122
-224.887275,102,1775.988791
-196.349411,101,1781.193343
-220.989398,102,1786.447557
-194.943016,102,1791.70179
-211.353125,100,1796.856023
-213.230092,99,1801.960338
-234.940743,102,1807.214829
-204.891042,101,1812.41936
-236.89312,103,1817.723544
-235.413602,104,1823.077994
-202.174501,97,1828.082205
-240.650064,103,1833.386628
-210.502115,97,1838.390895
-198.573641,96,1843.345041
-203.76324,97,1848.349168
-333.405735,120,1854.504366
-185.536236,98,1859.558627
-205.342652,100,1864.712917
-318.101772,118,1870.767977
-228.834421,100,1875.922323
-255.09973,110,1881.577082
-233.908111,104,1886.932081
-225.155398,102,1892.185968
-265.6012,105,1897.590505
-199.263843,98,1902.644724
-253.042525,108,1908.199679
-250.147295,106,1913.653941
-199.388515,100,1918.808457
-191.621797,96,1923.7629
-242.20512,102,1929.017246
-228.284709,102,1934.271326
-235.972948,98,1939.325583
-198.472645,101,1944.529933
-234.105863,104,1949.884439
-221.981982,107,1955.38903
-234.480644,105,1960.793557
-216.492682,100,1965.947867
-245.651072,114,1971.78618
-252.595369,111,1977.490817
-235.127217,112,1983.245519
-202.418659,99,1988.349839
-198.865226,103,1993.654361
-197.591628,101,1998.85866
-200.325955,97,2003.862975
-197.933012,99,2008.967209
-196.884304,100,2014.12152
-206.147033,99,2019.225729
-182.498901,97,2024.229957
-194.960379,96,2029.184103
-155.984745,98,2034.238322
-197.231866,99,2039.342559
-155.754855,97,2044.346836
-158.0344,99,2049.451103
-154.054571,96,2054.405253
-149.018409,95,2059.309386
-176.20981,98,2064.363663
-182.136619,98,2069.417855
-161.4184,97,2074.422053
-162.535473,99,2079.526433
-166.537378,98,2084.580564
-174.209381,99,2089.685091
-164.773421,99,2094.789119
-170.641627,96,2099.743282
-186.330321,98,2104.79751
-170.308871,97,2109.801774
-169.230152,97,2114.805938
-172.355288,95,2119.710032
-171.980644,98,2124.764249
-164.825667,98,2129.81887
-157.689338,95,2134.722585
-160.358539,97,2139.726843
-170.267479,100,2144.881119
-179.943451,98,2149.935353
-170.995913,100,2155.089791
-161.195435,97,2160.09387
-179.638078,98,2165.149075
-156.331397,96,2170.102268
-162.449726,100,2175.25658
-208.244383,96,2180.210747
-178.443474,98,2185.264918
-187.576867,96,2190.219118
-166.683623,95,2195.123235
-186.140978,98,2200.177525
-167.481706,101,2205.381853
-172.579586,97,2210.38604
